verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
Agapostemon femoratus,agapostemon femoratus,307033,agapostemon femoratus,exact,1.0,,
"Agapostemon femoratus Crawford, 1901",agapostemon femoratus,307033,agapostemon femoratus,exact,1.0,,
Agapostemon texanus,agapostemon texanus,1581468,agapostemon texanus,exact,1.0,,
"Agapostemon texanus Cresson, 1872",agapostemon texanus,1581468,agapostemon texanus,exact,1.0,,
Agapostemon texanus/angelicus,agapostemon texanus/angelicus,606634,agapostemon,slash_lca,1.0,,LCA of agapostemon texanus + agapostemon angelicus
"Agapostemon virescens (Fabricius, 1775)",agapostemon virescens,82530,agapostemon virescens,exact,1.0,,
"Andrena amphibola (Viereck, 1904)",andrena amphibola,453646,andrena amphibola,exact,1.0,,
"Andrena andrenoides (Cresson, 1878)",andrena andrenoides,336460,andrena andrenoides,exact,1.0,,
Andrena angustitarsata,andrena angustitarsata,346696,andrena angustitarsata,exact,1.0,,
"Andrena angustitarsata Viereck, 1904",andrena angustitarsata,346696,andrena angustitarsata,exact,1.0,,
"Andrena astragali Viereck & Cockerell, 1914",andrena astragali,336467,andrena astragali,exact,1.0,,
Andrena barbilabris,andrena barbilabris,199007,andrena barbilabris,exact,1.0,,
"Andrena barbilabris (Kirby, 1802)",andrena barbilabris,199007,andrena barbilabris,exact,1.0,,
"Andrena berberidis Cockerell, 1905",andrena berberidis,458996,andrena berberidis,exact,1.0,,
Andrena buckelli,andrena buckelli,213581,andrena buckelli,exact,1.0,,
Andrena caerulea,andrena caerulea,335694,andrena caerulea,exact,1.0,,
Andrena candida,andrena candida,309427,andrena candida,exact,1.0,,
"Andrena candida Viereck, 1904",andrena candida,309427,andrena candida,exact,1.0,,
Andrena candidiformis,andrena candidiformis,458998,andrena candidiformis,exact,1.0,,
"Andrena ceanothifloris Linsley, 1938",andrena ceanothifloris,458999,andrena ceanothifloris,exact,1.0,,
Andrena cerasifolii,andrena cerasifolii,346238,andrena cerasifolii,exact,1.0,,
Andrena chalybiodes,andrena chalybiodes,573383,andrena chalybioides,gbif,0.96,VARIANT,
Andrena chalybioides,andrena chalybioides,573383,andrena chalybioides,exact,1.0,,
Andrena chlorogaster,andrena chlorogaster,346691,andrena chlorogaster,exact,1.0,,
Andrena cleodora cleodora,andrena cleodora,459003,andrena cleodora,exact,1.0,,
"Andrena colletina Cockerell, 1906",andrena colletina,459004,andrena colletina,exact,1.0,,
"Andrena columbiana Viereck, 1917",andrena columbiana,459005,andrena columbiana,exact,1.0,,
"Andrena commoda Smith, 1879",andrena commoda,199013,andrena commoda,exact,1.0,,
Andrena cressonii,andrena cressonii,199010,andrena cressonii,exact,1.0,,
Andrena cressonii infasciata,andrena cressonii,199010,andrena cressonii,exact,1.0,,
Andrena cristata,andrena cristata,361393,andrena cristata,exact,1.0,,
Andrena cuneilabris,andrena cuneilabris,57670,andrena cuneilabris,exact,1.0,,
Andrena cupreotincta,andrena cupreotincta,459007,andrena cupreotincta,exact,1.0,,
"Andrena cupreotincta Cockerell, 1901",andrena cupreotincta,459007,andrena cupreotincta,exact,1.0,,
Andrena cyanophila,andrena cyanophila,459008,andrena cyanophila,exact,1.0,,
"Andrena cyanophila Cockerell, 1906",andrena cyanophila,459008,andrena cyanophila,exact,1.0,,
Andrena evoluta,andrena evoluta,459010,andrena evoluta,exact,1.0,,
"Andrena evoluta Linsley & MacSwain, 1961",andrena evoluta,459010,andrena evoluta,exact,1.0,,
"Andrena flocculosa LaBerge & Ribble, 1972",andrena flocculosa,573222,andrena flocculosa,exact,1.0,,
Andrena floculosa,andrena floculosa,573222,andrena flocculosa,gbif,0.98,VARIANT,
"Andrena forbesii Robertson, 1891",andrena forbesii,198993,andrena forbesii,exact,1.0,,
Andrena frigida,andrena frigida,198991,andrena frigida,exact,1.0,,
Andrena fuscicauda,andrena fuscicauda,361397,andrena fuscicauda,exact,1.0,,
"Andrena fuscicauda (Viereck, 1904)",andrena fuscicauda,361397,andrena fuscicauda,exact,1.0,,
"Andrena fuscicauda Viereck, 1904",andrena fuscicauda,361397,andrena fuscicauda,exact,1.0,,
Andrena gordoni,andrena gordoni,573177,andrena gordoni,exact,1.0,,
Andrena helianthi,andrena helianthi,198989,andrena helianthi,exact,1.0,,
Andrena hemileuca,andrena hemileuca,459014,andrena hemileuca,exact,1.0,,
Andrena illinoiensis,andrena illinoiensis,213586,andrena illinoiensis,exact,1.0,,
"Andrena illinoiensis Robertson, 1891",andrena illinoiensis,213586,andrena illinoiensis,exact,1.0,,
"Andrena jennei Viereck, 1917",andrena jennei,573079,andrena jennei,exact,1.0,,
Andrena knuthiana,andrena knuthiana,459015,andrena knuthiana,exact,1.0,,
Andrena melanochroa,andrena melanochroa,198982,andrena melanochroa,exact,1.0,,
"Andrena melanochroa Cockerell, 1898",andrena melanochroa,198982,andrena melanochroa,exact,1.0,,
Andrena microchlora,andrena microchlora,346692,andrena microchlora,exact,1.0,,
"Andrena microchlora Cockerell, 1922",andrena microchlora,346692,andrena microchlora,exact,1.0,,
Andrena milwaukeensis,andrena milwaukeensis,198981,andrena milwaukeensis,exact,1.0,,
"Andrena milwaukeensis Graenicher, 1903",andrena milwaukeensis,198981,andrena milwaukeensis,exact,1.0,,
Andrena miranda,andrena miranda,198980,andrena miranda,exact,1.0,,
"Andrena miranda Smith, 1879",andrena miranda,198980,andrena miranda,exact,1.0,,
Andrena nigrae,andrena nigrae,452917,andrena nigrae,exact,1.0,,
"Andrena nubecula Smith, 1853",andrena nubecula,198973,andrena nubecula,exact,1.0,,
Andrena obsuripostica,andrena obsuripostica,573969,andrena obscuripostica,gbif,0.96,VARIANT,
Andrena orthocarpi,andrena orthocarpi,361405,andrena orthocarpi,exact,1.0,,
"Andrena orthocarpi Cockerell, 1936",andrena orthocarpi,361405,andrena orthocarpi,exact,1.0,,
"Andrena pallidifovea (Viereck, 1904)",andrena pallidifovea,271782,andrena pallidifovea,exact,1.0,,
"Andrena perarmata Cockerell, 1898",andrena perarmata,459018,andrena perarmata,exact,1.0,,
Andrena perplexa,andrena perplexa,198970,andrena perplexa,exact,1.0,,
"Andrena perplexa Smith, 1853",andrena perplexa,198970,andrena perplexa,exact,1.0,,
Andrena pertristis carliniformis,andrena pertristis,213592,andrena pertristis,exact,1.0,,
"Andrena piperi Viereck, 1904",andrena piperi,309141,andrena piperi,exact,1.0,,
Andrena porterae,andrena porterae,459019,andrena porterae,exact,1.0,,
