species	county
Andrena aculeata	Whitman
Andrena birtwelli	Kittitas
Andrena buckelli	Garfield
Andrena buckelli	Kittitas
Andrena buckelli	Whitman
Andrena ceanothifloris	Okanogan
Andrena frigida	King
Andrena frigida	Kitsap
Andrena frigida	Pend Oreille
Andrena frigida	Pierce
Andrena frigida	Snohomish
Andrena frigida	Walla Walla
Andrena frigida	Whitman
Andrena frigida	Yakima
Andrena hemileuca	Ferry
Andrena hemileuca	Island
Andrena hemileuca	King
Andrena hemileuca	Kitsap
Andrena hemileuca	Lewis
Andrena hemileuca	Pierce
Andrena hemileuca	Skagit
Andrena hemileuca	Snohomish
Andrena hemileuca	Thurston
Andrena hemileuca	Whitman
Andrena jennei	Yakima
Andrena laminibucca	Jefferson
Andrena laminibucca	Kittitas
Andrena macoupinensis	Benton
Andrena macoupinensis	Kittitas
Andrena macoupinensis	Yakima
Andrena macoupinensis	Whitman
Andrena milwaukeensis	Chelan
Andrena milwaukeensis	Kittitas
Andrena milwaukeensis	Klickitat
Andrena milwaukeensis	Lewis
Andrena milwaukeensis	Spokane
Andrena milwaukeensis	Thurston
Andrena perarmata	King
Andrena perarmata	Kitsap
Andrena perarmata	Kittitas
Andrena perarmata	Pierce
Andrena perarmata	Thurston
Andrena perarmata	Walla Walla
Andrena perarmata	Whitman
Andrena perarmata	Yakima
Andrena prolixa	Pierce
Andrena rufosignata	Clallam
Andrena rufosignata	King
Andrena rufosignata	Okanogan
Andrena rufosignata	Pierce
Andrena rufosignata	Thurston
Andrena rufosignata	Whatcom
Andrena saccata	Clallam
Andrena saccata	Grays Harbor
Andrena saccata	King
Andrena saccata	Pacific
Andrena saccata	Pierce
Andrena saccata	Snohomish
Andrena saccata	Walla Walla
Andrena schuhi	Spokane
Andrena schuhi	Whitman
Andrena thaspii	Chelan
Andrena thaspii	Clallam
Andrena thaspii	Columbia
Andrena thaspii	Garfield
Andrena thaspii	Island
Andrena thaspii	Jefferson
Andrena thaspii	King
Andrena thaspii	Kittitas
Andrena thaspii	Pierce
Andrena thaspii	San Juan
Andrena thaspii	Skagit
Andrena thaspii	Snohomish
Andrena thaspii	Thurston
Andrena thaspii	Whitman
Andrena thaspii	Yakima
Andrena topazana	Asotin
Andrena topazana	Columbia
Andrena topazana	Okanogan
Andrena topazana	Walla Walla
Andrena topazana	Whitman
Andrena vicinoides	Asotin
Andrena vicinoides	Clallam
Andrena vicinoides	Island
Andrena vicinoides	King
Andrena vicinoides	Kitsap
Andrena vicinoides	Okanogan
