species	county	year	month
Agapostemon angelicus	King	1991	7
Agapostemon angelicus	Kitsap	1989	8
Agapostemon angelicus	Kitsap	1989	8
Agapostemon angelicus	Kitsap	1989	8
Agapostemon angelicus	Garfield	1993	6
Agapostemon angelicus	Garfield	1992	5
Agapostemon angelicus	Kittitas	1949	7
Agapostemon angelicus	Columbia	1972	6
Agapostemon angelicus	Whitman	1931	7
Agapostemon angelicus	Chelan	2003	7
Agapostemon angelicus	Whatcom	1977	6
Agapostemon angelicus	Whatcom	1977	6
Agapostemon angelicus	Whatcom	1978	6
Agapostemon angelicus	Whatcom	1978	6
Agapostemon angelicus	Pierce	1937	7
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	5
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	6
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	7
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Benton	1998	8
Agapostemon angelicus	Asotin	1977	8
Agapostemon angelicus	Spokane	2007	7
Agapostemon angelicus	Spokane	2007	7
Agapostemon angelicus	Spokane	2007	7
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Spokane	2007	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	5
Agapostemon angelicus	Walla Walla	1998	5
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	5
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	6
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	7
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Walla Walla	1998	8
Agapostemon angelicus	Chelan	1957	8
Agapostemon angelicus	Whitman		
Agapostemon angelicus	Whitman		
Agapostemon angelicus	Whitman		
Agapostemon angelicus	Whitman		
Agapostemon angelicus	Whitman		
Agapostemon angelicus	Benton	2014	7
Agapostemon angelicus	Benton	2014	7
Agapostemon angelicus	Benton	2014	7
Agapostemon angelicus	Benton	2014	7
Agapostemon angelicus	Benton	2014	7
