"canonical_name","family",endemic
"achnatherum lemmonii","Poaceae",N
"achnatherum nelsonii","Poaceae",N
"achnatherum occidentale","Poaceae",N
"achnatherum richardsonii","Poaceae",N
"achnatherum thurberianum","Poaceae",N
"acmispon nevadensis","Fabaceae",N
"aconogonon davisiae","Polygonaceae",N
"aconogonon phytolaccifolium","Polygonaceae",N
"agoseris agrestis","Asteraceae",N
"alnus viridis","Betulaceae",N
"amsinckia intermedia","Boraginaceae",N
"amsinckia retrorsa","Boraginaceae",N
"anemone deltoidea","Ranunculaceae",N
"anemone lyallii","Ranunculaceae",N
"anemone oregana","Ranunculaceae",N
"anemone piperi","Ranunculaceae",N
"antennaria pulvinata","Asteraceae",N
"apocynum floribundum","Apocynaceae",N
"arabidopsis kamchatica","Brassicaceae",N
"arctostaphylos media","Ericaceae",N
"astragalus arthuri","Fabaceae",N
"balsamorhiza bonseri","Asteraceae",N
"balsamorhiza terebinthacea","Asteraceae",N
"balsamorhiza tomentosa","Asteraceae",N
"berula incisa","Apiaceae",N
"betula utahensis","Betulaceae",N
"blitum hastatum","Amaranthaceae",N
"blitum spathulatum","Amaranthaceae",N
"calamagrostis tweedyi","Poaceae",N
"cardionema ramosissimum","Caryophyllaceae",N
"chenopodium schulzeanum","Amaranthaceae",N
"clarkia quadrivulnera","Onagraceae",N
"clarkia viminea","Onagraceae",N
"cornus occidentalis","Cornaceae",N
"corydalis aquae-gelidae","Papaveraceae",N
"croton setigerus","Euphorbiaceae",N
"cymopterus foeniculaceus","Apiaceae",N
"cypripedium columbianum","Orchidaceae",N
"delphinium basalticum","Ranunculaceae",N
"delphinium burkei","Ranunculaceae",N
"downingia pulcherrima","Campanulaceae",N
"downingia willamettensis","Campanulaceae",N
"draba platycarpa","Brassicaceae",N
"draba reptans","Brassicaceae",N
"draba taylori","Brassicaceae",N
"drosera obovata","Droseraceae",N
"elyhordeum macounii","Poaceae",N
"elyhordeum stebbinsianum","Poaceae",N
"elyleymus aristatus","Poaceae",N
"elymus hansenii","Poaceae",N
"epilobium glandulosum","Onagraceae",N
"epilobium pulchrum","Onagraceae",N
"epilobium treleasianum","Onagraceae",N
"erigeron davisii","Asteraceae",N
"erythronium idahoense","Liliaceae",N
"eucephalus engelmannii","Asteraceae",N
"eucephalus glaucescens","Asteraceae",Y
"eucephalus ledophyllus","Asteraceae",N
"eucephalus paucicapitatus","Asteraceae",N
"fragaria ananassa","Rosaceae",N
"glehnia leiocarpa","Apiaceae",N
"hackelia americana","Boraginaceae",N
"hesperochiron californicus","Hydrophyllaceae",N
"impatiens pacifica","Balsaminaceae",N
"lappula longispina","Boraginaceae",N
"leymus vancouverensis","Poaceae",N
"lloydia serotina","Liliaceae",N
"lomatium leptocarpum","Apiaceae",N
"lonicera cauriana","Caprifoliaceae",N
"mertensia amoena","Boraginaceae",N
"myosurus alopecuroides","Ranunculaceae",N
"nabalus alatus","Asteraceae",N
"navarretia propinqua","Polemoniaceae",N
"opuntia columbiana","Cactaceae",N
"panicum giblinianum","Poaceae",N
"penstemon cinereus","Plantaginaceae",N
"perideridia montana","Apiaceae",N
"peritoma lutea","Cleomaceae",N
"peritoma serrulata","Cleomaceae",N
"phyllodoce intermedia","Ericaceae",N
"plagiobothrys cognatus","Boraginaceae",N
"plagiobothrys cusickii","Boraginaceae",N
"plagiobothrys hispidulus","Boraginaceae",N
"plectritis brachystemon","Valerianaceae",N
"poa multnomae","Poaceae",N
"potamogeton fibrillosus","Potamogetonaceae",N
"potentilla anserina","Rosaceae",N
"prunus pugetensis","Rosaceae",N
"pseudelymus saxicola","Poaceae",N
"saxifraga austromontana","Saxifragaceae",N
"saxifraga vespertina","Saxifragaceae",N
"schoenoplectus kuekenthalianus","Cyperaceae",N
"schoenoplectus saximontanus","Cyperaceae",N
"scribneria bolanderi","Poaceae",N
"spartina gracilis","Poaceae",N
"spartina pectinata","Poaceae",N
"spiraea hitchcockii","Rosaceae",N
"spiraea pyramidata","Rosaceae",N
"stachys cooleyae","Lamiaceae",N
"stellaria obtusa","Caryophyllaceae",N
"stellaria umbellata","Caryophyllaceae",N
"symphyotrichum columbianum","Asteraceae",Y
"townsendia florifer","Asteraceae",N
"tragopogon miscellus","Asteraceae",N
"trisetum canescens","Poaceae",N
"trisetum cernuum","Poaceae",N
"utricularia ochroleuca","Lentibulariaceae",N
"valeriana scouleri","Valerianaceae",N
"verbena bingenensis","Verbenaceae",N
"vulpia octoflora","Poaceae",N
