"genus","sociality","nesting","note"
"agapostemon","","Ground","Bee-Gap 2017: 17 spp sociality (2 distinct), 17 spp nesting (1 distinct)"
"andrena","","Ground","Bee-Gap 2017: 539 spp sociality (3 distinct), 539 spp nesting (1 distinct)"
"anthidiellum","Solitary","Multiple","Bee-Gap 2017: 5 spp sociality (1 distinct), 5 spp nesting (1 distinct)"
"anthidium","Solitary","Multiple","Bee-Gap 2017: 43 spp sociality (1 distinct), 43 spp nesting (1 distinct)"
"anthophora","Solitary","","Bee-Gap 2017: 64 spp sociality (1 distinct), 64 spp nesting (2 distinct)"
"apis","Eusocial","Open","Bee-Gap 2017: 1 spp sociality (1 distinct), 1 spp nesting (1 distinct)"
"ashmeadiella","Solitary","Multiple","Bee-Gap 2017: 55 spp sociality (1 distinct), 55 spp nesting (1 distinct)"
"atoposmia","Solitary","Multiple","Bee-Gap 2017: 25 spp sociality (1 distinct), 25 spp nesting (1 distinct)"
"biastes","","","Bee-Gap 2017: 0 spp sociality (0 distinct), 0 spp nesting (0 distinct)"
"bombus","","","Bee-Gap 2017: 61 spp sociality (2 distinct), 61 spp nesting (5 distinct)"
"brachymelecta","","","Bee-Gap 2017: 0 spp sociality (0 distinct), 0 spp nesting (0 distinct)"
"calliopsis","Solitary","Ground","Bee-Gap 2017: 67 spp sociality (1 distinct), 67 spp nesting (1 distinct)"
"ceratina","Subsocial","Wood","Bee-Gap 2017: 29 spp sociality (1 distinct), 29 spp nesting (1 distinct)"
"chelostoma","Solitary","Wood","Bee-Gap 2017: 11 spp sociality (1 distinct), 11 spp nesting (1 distinct)"
"coelioxys","Parasitic","Host Nest","Bee-Gap 2017: 57 spp sociality (1 distinct), 57 spp nesting (1 distinct)"
"colletes","Solitary","Ground","Bee-Gap 2017: 107 spp sociality (1 distinct), 107 spp nesting (1 distinct)"
"diadasia","Solitary","Ground","Bee-Gap 2017: 25 spp sociality (1 distinct), 25 spp nesting (1 distinct)"
"dianthidium","Solitary","Cavity","Bee-Gap 2017: 23 spp sociality (1 distinct), 23 spp nesting (1 distinct)"
"dioxys","Parasitic","Host Nest","Bee-Gap 2017: 4 spp sociality (1 distinct), 4 spp nesting (1 distinct)"
"dufourea","Solitary","Ground","Bee-Gap 2017: 72 spp sociality (1 distinct), 72 spp nesting (1 distinct)"
"epeolus","Parasitic","Host Nest","Bee-Gap 2017: 39 spp sociality (1 distinct), 39 spp nesting (1 distinct)"
"epimelissodes","","","Bee-Gap 2017: 0 spp sociality (0 distinct), 0 spp nesting (0 distinct)"
"eucera","Solitary","Ground","Bee-Gap 2017: 52 spp sociality (1 distinct), 52 spp nesting (1 distinct)"
"habropoda","Solitary","Ground","Bee-Gap 2017: 16 spp sociality (1 distinct), 16 spp nesting (1 distinct)"
"halictus","Plastic","Ground","Bee-Gap 2017: 40 spp sociality (1 distinct), 40 spp nesting (1 distinct)"
"heriades","Solitary","","Bee-Gap 2017: 15 spp sociality (1 distinct), 15 spp nesting (2 distinct)"
"hoplitis","","","Bee-Gap 2017: 64 spp sociality (2 distinct), 64 spp nesting (2 distinct)"
"hylaeus","","","Bee-Gap 2017: 121 spp sociality (2 distinct), 89 spp nesting (5 distinct)"
"lasioglossum","","","Bee-Gap 2017: 61 spp sociality (4 distinct), 278 spp nesting (3 distinct)"
"macropis","","Ground","Bee-Gap 2017: 0 spp sociality (0 distinct), 4 spp nesting (1 distinct)"
"megachile","Solitary","","Bee-Gap 2017: 176 spp sociality (1 distinct), 176 spp nesting (3 distinct)"
"melecta","Parasitic","Host Nest","Bee-Gap 2017: 7 spp sociality (1 distinct), 7 spp nesting (1 distinct)"
"melissodes","Solitary","Ground","Bee-Gap 2017: 103 spp sociality (1 distinct), 103 spp nesting (1 distinct)"
"nomada","Parasitic","Host Nest","Bee-Gap 2017: 299 spp sociality (1 distinct), 299 spp nesting (1 distinct)"
"nomia","Plastic","Ground","Bee-Gap 2017: 10 spp sociality (1 distinct), 10 spp nesting (1 distinct)"
"oreopasites","Parasitic","Host Nest","Bee-Gap 2017: 10 spp sociality (1 distinct), 10 spp nesting (1 distinct)"
"osmia","Solitary","","Bee-Gap 2017: 158 spp sociality (1 distinct), 158 spp nesting (4 distinct)"
"panurginus","Solitary","Ground","Bee-Gap 2017: 22 spp sociality (1 distinct), 22 spp nesting (1 distinct)"
"perdita","Solitary","Ground","Bee-Gap 2017: 520 spp sociality (1 distinct), 520 spp nesting (1 distinct)"
"protosmia","Solitary","Ground","Bee-Gap 2017: 1 spp sociality (1 distinct), 1 spp nesting (1 distinct)"
"pseudoanthidium","","","Bee-Gap 2017: 0 spp sociality (0 distinct), 0 spp nesting (0 distinct)"
"sphecodes","Parasitic","Host Nest","Bee-Gap 2017: 80 spp sociality (1 distinct), 80 spp nesting (1 distinct)"
"stelis","Parasitic","Host Nest","Bee-Gap 2017: 64 spp sociality (1 distinct), 64 spp nesting (1 distinct)"
"triepeolus","Parasitic","Host Nest","Bee-Gap 2017: 107 spp sociality (1 distinct), 107 spp nesting (1 distinct)"
"xylocopa","Solitary","Wood","Bee-Gap 2017: 20 spp sociality (1 distinct), 20 spp nesting (1 distinct)"
"zacosmia","Parasitic","Host Nest","Bee-Gap 2017: 1 spp sociality (1 distinct), 1 spp nesting (1 distinct)"
