"parasite","host_genus","host_species","host_taxon"
"bombus ashtoni","bombus","affinis","Bombus affinis"
"bombus ashtoni","bombus","terricola","Bombus terricola"
"bombus bohemicus","bombus","lucorum","Bombus lucorum"
"bombus bohemicus","bombus","terrestris","Bombus terrestris"
"bombus citrinus","bombus","impatiens","Bombus impatiens"
"bombus citrinus","bombus","vagans","Bombus vagans"
"bombus fernaldae","bombus","perplexus","Bombus perplexus"
"bombus flavidus","bombus","perplexus","Bombus perplexus"
"bombus hyperboreus","bombus","polaris","Bombus polaris"
"bombus insularis","bombus","flavifrons","Bombus flavifrons"
"bombus suckleyi","bombus","occidentalis","Bombus occidentalis"
"bombus variabilis","bombus","pensylvanicus","Bombus pensylvanicus"
"bombus vosnesenskii","bombus","","Bombus"
"bombus weisi","bombus","","Bombus"
"brachynomada annectens","anthophorula","","Anthophorula"
"brachynomada grindeliae","anthophorula","","Anthophorula"
"brachynomada nimia","anthophorula","","Anthophorula"
"brachynomada sidaefloris","anthophorula","","Anthophorula"
"coelioxys alternata","megachile","pugnata","Megachile pugnata"
"coelioxys banksi","megachile","relativa","Megachile relativa"
"coelioxys coturnix","megachile","minutissima","Megachile minutissima"
"coelioxys dolichos","megachile","xylocopoides","Megachile xylocopoides"
"coelioxys edita","megachile","","Megachile"
"coelioxys funeraria","megachile","frigida","Megachile frigida"
"coelioxys funeraria","megachile","inermis","Megachile inermis"
"coelioxys funeraria","megachile","relativa","Megachile relativa"
"coelioxys modesta","megachile","campanulae","Megachile campanulae"
"coelioxys modesta","megachile","centuncularis","Megachile centuncularis"
"coelioxys modesta","megachile","georgica","Megachile georgica"
"coelioxys moesta","megachile","centuncularis","Megachile centuncularis"
"coelioxys moesta","megachile","relativa","Megachile relativa"
"coelioxys octodentata","megachile","brevis","Megachile brevis"
"coelioxys octodentata","megachile","centuncularis","Megachile centuncularis"
"coelioxys octodentata","megachile","mendica","Megachile mendica"
"coelioxys octodentata","megachile","onobrychidis","Megachile onobrychidis"
"coelioxys octodentata","megachile","perihirta","Megachile perihirta"
"coelioxys octodentata","megachile","rotundata","Megachile rotundata"
"coelioxys octodentata","megachile","texana","Megachile texana"
"coelioxys porterae","megachile","frigida","Megachile frigida"
