"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"ancylandrena atoposoma","Fabaceae","Fabaceae : Lupinus L.","AZ-CA","Rare"
"ancylandrena koebelei","Fabaceae","Fabaceae : Dalea L.","AZ-CA-NV-UT","Rare"
"ancylandrena larreae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon"
"ancylandrena rozeni","Fabaceae","Fabaceae : Coursetia DC.","AZ","Rare"
"ancyloscelis sejunctus","","Ipomoea L.","AZ-CO","Rare"
"andrena ablegata","","Agoseris Raf.","CA-CO-ID-OR-UT-WY","Rare"
"andrena accepta","Asteraceae","Asteraceae : Helianthus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WY","Uncommon"
"andrena agoseridis","","Agoseris Raf.","CA","Rare"
"andrena alamonis","","Lesquerella S. Watson","AZ-NM","Rare"
"andrena aliciae","Asteraceae","Asteraceae : Bidens L. , Helianthus L. , Rudbeckia L.","AZ-NM","Rare"
"andrena aliciarum","Asteraceae","Asteraceae : Hymenothrix A. Gray , Pectis L.","AZ-NM","Rare"
"andrena anatolis","","Camissonia Link","CA","Rare"
"andrena andrenoides","","Salix L.","CO-ID-MT-NM-UT-WA-WY","Rare"
"andrena annectens","","Salix L.","CA","Rare"
"andrena anograe","","Oenothera L.","CO-NM-WY","Rare"
"andrena apacheorum","Asteraceae","Asteraceae : Cirsium Mill. , Ericameria Nutt. , Erigeron L. , Solidago L.","AZ-CA-CO-ID-NM-OR-UT-WY","Uncommon-Rare"
"andrena apasta","","Camissonia Link","CA","Rare"
"andrena arabis","","Arabis L. , Cardamine L.","AZ-NM","Rare"
"andrena arctostaphylae","","Arctostaphylos Adans.","CA-UT","Rare"
"andrena ardis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Gutierrezia Lag.","CO-NM","Rare"
"andrena asteris","","Eurybia (Cass.) Cass. , Solidago L. , Symphyotrichum Nees","WY","Rare"
"andrena astragali","","Zigadenus Michx. ( Toxicoscordion Rydb.)","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"andrena aurihirta","Asteraceae","Asteraceae : Baccharis L. , Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Isocoma Nutt. , Solidago L.","CA","Rare"
"andrena auripes","Asteraceae","Asteraceae : ?","AZ","Rare"
"andrena baeriae","","Lasthenia Cass.","CA","Rare"
