"canonical_name","native","nesting","sociality","foraging"
"agapanthinus callophilus","","","",""
"agapostemon aenigma","","Ground","Solitary",""
"agapostemon angelicus","native","Ground","Plastic","Generalist"
"agapostemon atrocaeruleus","","Ground","Solitary",""
"agapostemon coloradinus","native","Ground","Solitary","Generalist"
"agapostemon femoratus","native","Ground","Solitary","Generalist"
"agapostemon leunculus","native","Ground","Solitary","Generalist"
"agapostemon melliventris","native","Ground","Solitary","Generalist"
"agapostemon nasutus","native","Ground","Plastic","Generalist"
"agapostemon obliquus","native","Ground","Solitary","Generalist"
"agapostemon peninsularis","","Ground","Solitary",""
"agapostemon semimelleus","","Ground","Solitary","Generalist"
"agapostemon sericeus","native","Ground","Solitary","Generalist"
"agapostemon splendens","native","Ground","Solitary","Generalist"
"agapostemon texanus","native","Ground","Solitary","Generalist"
"agapostemon tyleri","native","Ground","Solitary","Generalist"
"agapostemon viequesensis","","Ground","Solitary","Generalist"
"agapostemon virescens","native","Ground","Plastic","Generalist"
"amegilla quadrifasciata","introduced","Ground","Solitary","Generalist"
"ancylandrena atoposoma","native","Ground","Solitary","Specialist"
"ancylandrena koebelei","native","Ground","Solitary","Specialist"
"ancylandrena larreae","native","Ground","Solitary","Specialist"
"ancylandrena rozeni","native","Ground","Solitary","Specialist"
"ancylandrena timberlakei","native","Ground","Solitary","Specialist"
"ancyloscelis apiformis","","Ground","","Specialist"
"ancyloscelis sejunctus","","Ground","","Specialist"
"andrena aberrans","","Ground","Solitary","Specialist"
"andrena ablegata","","Ground","Solitary",""
"andrena accepta","native","Ground","Solitary","Specialist"
"andrena acrana","","Ground","Solitary",""
"andrena aculeata","native","Ground","Solitary","Generalist"
"andrena afimbriata","","Ground","Solitary",""
"andrena agilissima","introduced","Ground","Communal","Specialist"
"andrena agoseridis","","Ground","Solitary",""
"andrena alamonis","","Ground","Solitary",""
"andrena albiculta","","Ground","Solitary",""
"andrena albuginosa","","Ground","Solitary",""
"andrena algida","native","Ground","Solitary",""
"andrena aliciae","native","Ground","Solitary","Specialist"
"andrena aliciarum","native","Ground","Solitary",""
"andrena alleghaniensis","native","Ground","Solitary",""
"andrena amphibola","native","Ground","Solitary",""
"andrena anatolis","native","Ground","Solitary","Specialist"
"andrena andrenoides","native","Ground","Solitary",""
