"canonical_name","family",inat_taxon_id,endemic,source
"Abronia latifolia","Nyctaginaceae",52618,N,burke-wa-flora
"Abronia mellifera","Nyctaginaceae",157827,N,burke-wa-flora
"Abronia umbellata","Nyctaginaceae",53801,N,burke-wa-flora
"Acer circinatum","Sapindaceae",48258,N,burke-wa-flora
"Acer glabrum","Sapindaceae",63078,N,burke-wa-flora
"Acer macrophyllum","Sapindaceae",48227,N,burke-wa-flora
"Achillea millefolium","Asteraceae",1105043,N,burke-wa-flora
"Achlys californica","Berberidaceae",75262,N,burke-wa-flora
"Achlys triphylla","Berberidaceae",75263,N,burke-wa-flora
"Acmispon americanus","Fabaceae",57049,N,burke-wa-flora
"Acmispon denticulatus","Fabaceae",60194,N,burke-wa-flora
"Acmispon parviflorus","Fabaceae",57048,N,burke-wa-flora
"Aconitum columbianum","Ranunculaceae",60522,N,burke-wa-flora
"Acorus americanus","Acoraceae",157984,N,burke-wa-flora
"Actaea elata","Ranunculaceae",158002,N,burke-wa-flora
"Actaea laciniata","Ranunculaceae",158003,N,burke-wa-flora
"Actaea rubra","Ranunculaceae",49870,N,burke-wa-flora
"Adelinia grandis","Boraginaceae",1520640,N,burke-wa-flora
"Adenocaulon bicolor","Asteraceae",56854,N,burke-wa-flora
"Agastache occidentalis","Lamiaceae",158079,N,burke-wa-flora
"Agastache urticifolia","Lamiaceae",63316,N,burke-wa-flora
"Ageratina occidentalis","Asteraceae",75300,N,burke-wa-flora
"Agoseris apargioides","Asteraceae",58801,N,burke-wa-flora
"Agoseris aurantiaca","Asteraceae",75302,N,burke-wa-flora
"Agoseris elata","Asteraceae",158119,N,burke-wa-flora
"Agoseris glauca","Asteraceae",75303,N,burke-wa-flora
"Agoseris grandiflora","Asteraceae",52828,N,burke-wa-flora
"Agoseris heterophylla","Asteraceae",56856,N,burke-wa-flora
"Agoseris monticola","Asteraceae",75304,N,burke-wa-flora
"Agoseris retrorsa","Asteraceae",57908,N,burke-wa-flora
"Agrimonia gryposepala","Rosaceae",75307,N,burke-wa-flora
"Agrostis densiflora","Poaceae",61059,N,burke-wa-flora
"Agrostis exarata","Poaceae",59088,N,burke-wa-flora
"Agrostis idahoensis","Poaceae",75317,N,burke-wa-flora
"Agrostis mertensii","Poaceae",158138,N,burke-wa-flora
"Agrostis microphylla","Poaceae",60277,N,burke-wa-flora
"Agrostis oregonensis","Poaceae",75318,N,burke-wa-flora
"Agrostis pallens","Poaceae",52692,N,burke-wa-flora
"Agrostis scabra","Poaceae",75319,N,burke-wa-flora
"Agrostis variabilis","Poaceae",75320,N,burke-wa-flora
"Alchemilla occidentalis","Rosaceae",1452907,N,burke-wa-flora
"Aliciella leptomeria","Polemoniaceae",75327,N,burke-wa-flora
"Aliciella lottiae","Polemoniaceae",75328,N,burke-wa-flora
"Alisma gramineum","Alismataceae",75333,N,burke-wa-flora
"Alisma triviale","Alismataceae",61167,N,burke-wa-flora
"Allium acuminatum","Amaryllidaceae",59782,N,burke-wa-flora
"Allium amplectens","Amaryllidaceae",60267,N,burke-wa-flora
"Allium campanulatum","Amaryllidaceae",75340,N,burke-wa-flora
"Allium cernuum","Amaryllidaceae",116364,N,burke-wa-flora
"Allium columbianum","Amaryllidaceae",158170,N,burke-wa-flora
"Allium constrictum","Amaryllidaceae",158171,Y,burke-wa-flora
"Allium crenulatum","Amaryllidaceae",62580,N,burke-wa-flora
"Allium dictuon","Amaryllidaceae",158174,Y,burke-wa-flora
"Allium douglasii","Amaryllidaceae",158175,N,burke-wa-flora
"Allium fibrillum","Amaryllidaceae",158177,N,burke-wa-flora
"Allium geyeri","Amaryllidaceae",148938,N,burke-wa-flora
"Allium macrum","Amaryllidaceae",158181,N,burke-wa-flora
"Allium nevii","Amaryllidaceae",158183,N,burke-wa-flora
"Allium robinsonii","Amaryllidaceae",158191,N,burke-wa-flora
"Allium schoenoprasum","Amaryllidaceae",59254,N,burke-wa-flora
"Allium scilloides","Amaryllidaceae",158193,Y,burke-wa-flora
"Allium textile","Amaryllidaceae",148940,N,burke-wa-flora
"Allium tolmiei","Amaryllidaceae",75367,N,burke-wa-flora
"Allotropa virgata","Ericaceae",62481,N,burke-wa-flora
"Alnus incana","Betulaceae",75377,N,burke-wa-flora
"Alnus rhombifolia","Betulaceae",53351,N,burke-wa-flora
"Alnus rubra","Betulaceae",56034,N,burke-wa-flora
"Alopecurus aequalis","Poaceae",75381,N,burke-wa-flora
"Alopecurus geniculatus","Poaceae",71140,N,burke-wa-flora
"Alopecurus saccatus","Poaceae",58364,N,burke-wa-flora
"Amaranthus californicus","Amaranthaceae",58775,N,burke-wa-flora
"Ambrosia acanthicarpa","Asteraceae",57909,N,burke-wa-flora
"Ambrosia chamissonis","Asteraceae",71135,N,burke-wa-flora
"Ambrosia psilostachya","Asteraceae",60129,N,burke-wa-flora
"Ambrosia trifida","Asteraceae",53034,N,burke-wa-flora
"Amelanchier alnifolia","Rosaceae",75415,N,burke-wa-flora
"Amelanchier utahensis","Rosaceae",61099,N,burke-wa-flora
"Ammannia robusta","Lythraceae",75416,N,burke-wa-flora
"Amphiscirpus nevadensis","Cyperaceae",75421,N,burke-wa-flora
"Amsinckia lycopsoides","Boraginaceae",58048,N,burke-wa-flora
"Amsinckia menziesii","Boraginaceae",55436,N,burke-wa-flora
"Amsinckia spectabilis","Boraginaceae",71045,N,burke-wa-flora
"Amsinckia tessellata","Boraginaceae",58050,N,burke-wa-flora
"Anaphalis margaritacea","Asteraceae",52833,N,burke-wa-flora
"Andromeda polifolia","Ericaceae",119892,N,burke-wa-flora
"Androsace filiformis","Primulaceae",75434,N,burke-wa-flora
"Androsace laevigata","Primulaceae",1414073,N,burke-wa-flora
"Androsace nivalis","Primulaceae",1414075,Y,burke-wa-flora
"Androsace septentrionalis","Primulaceae",1414058,N,burke-wa-flora
"Anemone drummondii","Ranunculaceae",75440,N,burke-wa-flora
"Anemone multifida","Ranunculaceae",75442,N,burke-wa-flora
"Anemone parviflora","Ranunculaceae",158365,N,burke-wa-flora
"Angelica arguta","Apiaceae",75446,N,burke-wa-flora
"Angelica canbyi","Apiaceae",158372,N,burke-wa-flora
"Angelica genuflexa","Apiaceae",75450,N,burke-wa-flora
"Angelica hendersonii","Apiaceae",64289,N,burke-wa-flora
"Angelica lucida","Apiaceae",75453,N,burke-wa-flora
"Anisocarpus madioides","Asteraceae",53137,N,burke-wa-flora
"Antennaria alpina","Asteraceae",154163,N,burke-wa-flora
"Antennaria anaphaloides","Asteraceae",158406,N,burke-wa-flora
"Antennaria corymbosa","Asteraceae",75459,N,burke-wa-flora
"Antennaria dimorpha","Asteraceae",75460,N,burke-wa-flora
"Antennaria flagellaris","Asteraceae",75461,N,burke-wa-flora
"Antennaria geyeri","Asteraceae",75462,N,burke-wa-flora
"Antennaria howellii","Asteraceae",75463,N,burke-wa-flora
"Antennaria lanata","Asteraceae",143679,N,burke-wa-flora
"Antennaria luzuloides","Asteraceae",75464,N,burke-wa-flora
"Antennaria media","Asteraceae",75466,N,burke-wa-flora
"Antennaria microphylla","Asteraceae",75467,N,burke-wa-flora
"Antennaria monocephala","Asteraceae",158412,N,burke-wa-flora
"Antennaria parvifolia","Asteraceae",158414,N,burke-wa-flora
"Antennaria pulcherrima","Asteraceae",158415,N,burke-wa-flora
"Antennaria racemosa","Asteraceae",75469,N,burke-wa-flora
"Antennaria stenophylla","Asteraceae",158418,N,burke-wa-flora
"Antennaria umbrinella","Asteraceae",75471,N,burke-wa-flora
"Anthoxanthum hirtum","Poaceae",204239,N,burke-wa-flora
"Anthoxanthum occidentale","Poaceae",75474,N,burke-wa-flora
"Anticlea elegans","Melanthiaceae",118830,N,burke-wa-flora
"Anticlea occidentalis","Melanthiaceae",425083,N,burke-wa-flora
"Aphyllon californicum","Orobanchaceae",802458,N,burke-wa-flora
"Aphyllon corymbosum","Orobanchaceae",802501,N,burke-wa-flora
"Aphyllon fasciculatum","Orobanchaceae",802543,N,burke-wa-flora
"Aphyllon franciscanum","Orobanchaceae",1303043,N,burke-wa-flora
"Aphyllon ludovicianum","Orobanchaceae",279015,N,burke-wa-flora
"Aphyllon pinorum","Orobanchaceae",802557,N,burke-wa-flora
"Aphyllon purpureum","Orobanchaceae",739040,N,burke-wa-flora
"Apocynum androsaemifolium","Apocynaceae",47359,N,burke-wa-flora
"Apocynum cannabinum","Apocynaceae",58795,N,burke-wa-flora
"Aquilegia flavescens","Ranunculaceae",158463,N,burke-wa-flora
"Aquilegia formosa","Ranunculaceae",48244,N,burke-wa-flora
"Arabis crucisetosa","Brassicaceae",158484,N,burke-wa-flora
"Arabis eschscholtziana","Brassicaceae",75494,N,burke-wa-flora
"Arabis furcata","Brassicaceae",143680,N,burke-wa-flora
"Arabis nuttallii","Brassicaceae",158517,N,burke-wa-flora
"Arabis olympica","Brassicaceae",359577,Y,burke-wa-flora
"Aralia nudicaulis","Araliaceae",119828,N,burke-wa-flora
"Arbutus menziesii","Ericaceae",51046,N,burke-wa-flora
"Arceuthobium abietinum","Santalaceae",158553,N,burke-wa-flora
"Arceuthobium americanum","Santalaceae",48935,N,burke-wa-flora
"Arceuthobium campylopodum","Santalaceae",55422,N,burke-wa-flora
"Arceuthobium douglasii","Santalaceae",75500,N,burke-wa-flora
"Arceuthobium laricis","Santalaceae",158560,N,burke-wa-flora
"Arceuthobium tsugense","Santalaceae",158563,N,burke-wa-flora
"Arcteranthis cooleyae","Ranunculaceae",1567760,N,burke-wa-flora
"Arctostaphylos columbiana","Ericaceae",75505,N,burke-wa-flora
"Arctostaphylos nevadensis","Ericaceae",75527,N,burke-wa-flora
"Arctostaphylos patula","Ericaceae",75537,N,burke-wa-flora
